link,img,title
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58641,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f18%2f%e1%84%8e%e1%85%b5%e1%84%85%e1%85%b5%e1%84%82%e1%85%a9%e1%84%89%e1%85%b3%20%e1%84%92%e1%85%a9%e1%86%b72.jpg,"[18일 프리뷰] 치리노스, 다승 1위 도전...SSG 4연패 탈출할까"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58640,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f18%2f202504180926770313_6801c222c41f2.jpg,"[18일 프리뷰] KT 헤이수스, 친정팀 키움 상대 첫 등판"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58639,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f18%2f202504181133773393_6801bab40b969.jpg,"[18일 프리뷰] ‘4연패 탈출’ 삼성, 3연승 롯데와 격돌…좌완 이승현"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58638,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f18%2f%e1%84%8f%e1%85%a9%e1%86%af%e1%84%8b%e1%85%a5%e1%86%b8.jpg,"[18일 프리뷰] 나흘 쉰 두산, 에이스 콜어빈 출격…윤영철과 격돌"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58637,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f18%2f18%e1%84%8b%e1%85%b5%e1%86%af%e1%84%91%e1%85%b3%e1%84%85%e1%85%b5%e1%84%87%e1%85%b2.jpg,"[18일 프리뷰] 4G째 무승 NC 로건, 한화 상대로 첫 승 재도전"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58628,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f17%2f202504171228772231_680075b3b99b0.jpg,"[17일 프리뷰] 4연패 삼성, 원태인 앞세워 연패 탈출할까"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58627,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f17%2f202504111946770958_67f8f3077f3d9.jpg,"[17일 프리뷰] 토종 에이스 박세웅 등판, 롯데 첫 스윕 도전"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58626,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f17%2f20250224181459_67bc3893b6943.jpg,"[17일 프리뷰] ‘드디어 KBO 데뷔전’ 화이트, SSG 3연패 끊을까"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58625,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f17%2f202504170831775460_6800414fa47de.png,[17일 프리뷰] 대투수 180승 5번째 도전 성공?
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58617,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f16%2f%e1%84%8b%e1%85%b5%e1%86%b7%e1%84%8e%e1%85%a1%e1%86%ab%e1%84%80%e1%85%b2%20%e1%84%92%e1%85%a9%e1%86%b71.jpg,"[16일 프리뷰] 70억 최원태-50억 임찬규, 선발 맞대결"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58616,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f16%2f202504101858775422_67f7966327214.jpg,"[16일 프리뷰] ‘ERA 6.33’ 반즈, 롯데 위닝시리즈 이끌까"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58615,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f16%2f202504160816773408_67feeca876f78.png,"[16일 프리뷰] KIA 첫 3연승일까, KT 설욕할까"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58614,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f16%2f20250404191139_67efb05b68a05.jpg,"[16일 프리뷰] ‘ERA 2.08 반등’ 김광현, SSG 2연패 끊을까"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58605,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f15%2f20250322144138_67de4d921c8d4.jpg,"[15일 프리뷰] ’13K 부활’ 앤더슨, 시즌 첫 승 도전"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58604,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f15%2f%e1%84%8b%e1%85%a6%e1%86%af%e1%84%85%e1%85%b5%20%e1%84%92%e1%85%a9%e1%86%b7.jpg,"[15일 프리뷰] 에르난데스-후라도, 누가 불운 먼저 끊을까"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58603,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f15%2f202504150848778420_67fd9f126176c.jpg,"[15일 프리뷰] 롯데 나균안, 키움전 부진 떨쳐내고 시즌 첫 승 성공할"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58602,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f15%2f202504150802771410_67fd987f405a3.png,[15일 프리뷰] ERA 0.36 네일 극강피칭 이어질까
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58590,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f13%2f202504131037774789_67fb17259ff14.jpg,"[13일 프리뷰] 삼성, 에이스 카드를 꺼낸다! 레예스, KT전서 완벽투"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58589,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f13%2f202504130906771450_67fb009e52de5.jpg,"[13일 프리뷰] NC 이용찬, 1775일 만의 선발 복귀전"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58588,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f13%2f202504130805771599_67faf2da03e9a.png,"[13일 프리뷰] KIA 단독 최하위 수모, 무기력 타선 터질까"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58587,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f13%2f12.jpg,"[13일 프리뷰] 4연패 두산, ‘2G 연속 QS’ 최승용만 믿는다"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58583,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f13%2f13%e1%84%8b%e1%85%b5%e1%86%af%e1%84%91%e1%85%b3%e1%84%85%e1%85%b5%e1%84%87%e1%85%b2.jpg,"[13일 프리뷰] 문동주, 시즌 4번째 첫 승 도전…한화 위닝 이끌까"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58578,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f12%2f202503301434771456_67e8d7f388f65.jpg,"[12일 프리뷰] 롯데 데이비슨, 3전 4기 KBO 첫 승 도전"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58577,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f12%2f202504121008778217_67f9bff57e93f.png,"[12일 프리뷰] KIA 타선 슬럼프, ERA 1.53 에이스 공략?"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58576,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f12%2f%e1%84%8e%e1%85%b5%e1%84%85%e1%85%b5%e1%84%82%e1%85%a9%e1%84%89%e1%85%b3%20%e1%84%92%e1%85%a9%e1%86%b7.jpg,"[12일 프리뷰] 1선발 치리노스 vs 5선발 김유성, 누가 승리 이끌까"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58575,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f12%2f%e1%84%86%e1%85%ae%e1%84%82%e1%85%b5.jpg,"[12일 프리뷰] '김재윤 보상선수' 문용익, 친정 상대 선발 데뷔전"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58574,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f12%2f12%e1%84%8b%e1%85%b5%e1%86%af%e1%84%91%e1%85%b3%e1%84%85%e1%85%b5%e1%84%87%e1%85%b2.jpg,"[12일 프리뷰] 엄상백, 대전 홈에서 첫 등판…한화 4연승 이끌까"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58566,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/KBOHome/resources/images/common/noImage_news_1.png,"[11일 프리뷰] 원정 같은 홈 경기, NC 김태형 시즌 첫 선발 등판"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58565,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f11%2f202504111216770944_67f88a066c291.jpg,"[11일 프리뷰] 2위 삼성, KT와 격돌…좌완 이승현 시즌 첫 승 향한"
https://www.koreabaseball.com/MediaNews/News/Preview/View.aspx?bdSe=58564,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f04%2f11%2f202504111155775927_67f8864c40a60.jpg,"[11일 프리뷰] 잠실 라이벌전 첫 대결, 송승기-최원준 선발 맞대결"
